id;cover;cover_content_type;title;description;start_date;end_date;tags
1;../fake-data/blob/hipster.png;image/png;Tugrik Steel;District Data website;2021-04-09;2021-04-10;Down-sized
2;../fake-data/blob/hipster.png;image/png;Steel grow;International benchmark;2021-04-10;2021-04-10;Investment
3;../fake-data/blob/hipster.png;image/png;analyzer Keyboard User-friendl;French;2021-04-09;2021-04-10;TCP
4;../fake-data/blob/hipster.png;image/png;Dollar interface;Bedfordshire cutting-edge;2021-04-09;2021-04-10;feed
5;../fake-data/blob/hipster.png;image/png;Solutions;Steel;2021-04-10;2021-04-10;next-generation Avon hard
6;../fake-data/blob/hipster.png;image/png;Cambridgeshire Berkshire;Diverse;2021-04-09;2021-04-09;Rhode calculate
7;../fake-data/blob/hipster.png;image/png;mobile;Creative West indexing;2021-04-09;2021-04-09;Jewelery
8;../fake-data/blob/hipster.png;image/png;eco-centric Small web-enabled;methodologies;2021-04-10;2021-04-09;payment
9;../fake-data/blob/hipster.png;image/png;Tuna recontextualize Frozen;Buckinghamshire Bedfordshire;2021-04-10;2021-04-10;Litas
10;../fake-data/blob/hipster.png;image/png;Designer Chief Burundi;deposit Point;2021-04-10;2021-04-10;Steel
